start_station_name,start_lat,start_lng,end_station_name,end_lat,end_lng,trip_count
Central Park S & 6 Ave,40.76590936,-73.97634151,5 Ave & E 72 St,40.77282817,-73.96685276,2615
River Ter & Warren St,40.71759894980997,-74.01587963104248,Vesey Pl & River Terrace,40.7153379,-74.01658354,2607
Franklin St & Dupont St,40.73564,-73.95866,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,2598
2 Ave & E 72 St,40.7687620293096,-73.95840793848038,E 72 St & York Ave,40.76663814,-73.95348296,2590
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,Vesey Pl & River Terrace,40.7153379,-74.01658354,2572
W 21 St & 6 Ave,40.74173969,-73.99415556,W 22 St & 8 Ave,40.74475148,-73.99915362,2569
11 Ave & W 41 St,40.76030096,-73.99884222,W 42 St & 8 Ave,40.7575699,-73.99098507,2554
W 22 St & 8 Ave,40.74475148,-73.99915362,W 22 St & 10 Ave,40.74691959,-74.00451887,2549
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,Franklin St & Dupont St,40.73564,-73.95866,2539
Picnic Point,40.68512559515415,-74.02535319328308,Soissons Landing,40.69231660719192,-74.01486575603485,2519
S 3 St & Bedford Ave,40.71260486,-73.96264403,N 6 St & Bedford Ave,40.71745169,-73.95850939,2516
Greenwich St & W Houston St,40.728846,-74.008591,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,2515
Southpoint Park,40.75370225419114,-73.95865201950072,Southpoint Park,40.75370225419114,-73.95865201950072,2505
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,2492
11 Ave & W 27 St,40.751396,-74.005226,W 26 St & 8 Ave,40.74734825,-73.99723551,2485
E 33 St & 1 Ave,40.74322681432173,-73.97449783980846,6 Ave & W 33 St,40.74901271,-73.98848395,2483
Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,2476
10 Ave & W 14 St,40.74198159994023,-74.00831580162048,10 Ave & W 14 St,40.74198159994023,-74.00831580162048,2460
Central Park West & W 85 St,40.78476,-73.969862,Central Park West & W 85 St,40.78476,-73.969862,2457
9 Ave & W 18 St,40.74317449,-74.00366443,W 17 St & 8 Ave,40.74177603,-74.00149746,2451
12 Ave & W 40 St,40.76087502,-74.00277668,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,2437
Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,2421
W 26 St & 10 Ave,40.749717753,-74.002950346,W 26 St & 8 Ave,40.74734825,-73.99723551,2419
Central Park S & 6 Ave,40.76590936,-73.97634151,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,2414
Richardson St & N Henry St,40.71907891179564,-73.94223690032959,Graham Ave & Conselyea St,40.715143,-73.944507,2387
E 27 St & 1 Ave,40.739445,-73.976806,E 25 St & 2 Ave,40.73912601,-73.97973776,2378
1 Ave & E 68 St,40.76500525,-73.95818491,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,2374
E 102 St & 1 Ave,40.7869946,-73.94164802,2 Ave & E 96 St,40.7839636,-73.9471673,2370
Willoughby St & Fleet St,40.69196566,-73.9813018,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2368
11 Ave & W 59 St,40.77149671054441,-73.99046033620834,W 59 St & 10 Ave,40.770513,-73.988038,2361
E 77 St & 3 Ave,40.77314236,-73.95856158,1 Ave & E 78 St,40.77140426,-73.9535166,2361
E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,1 Ave & E 68 St,40.76500525,-73.95818491,2355
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,West St & Liberty St,40.711444,-74.014847,2355
E 32 St & Park Ave,40.7457121,-73.98194829,E 33 St & 1 Ave,40.74322681432173,-73.97449783980846,2340
N 6 St & Bedford Ave,40.71745169,-73.95850939,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,2328
Parade Pl & Crooke Ave,40.651847,-73.965248,Parade Pl & Crooke Ave,40.651847,-73.965248,2327
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,Franklin St & Dupont St,40.73564,-73.95866,2316
E 33 St & 1 Ave,40.74322681432173,-73.97449783980846,W 31 St & 7 Ave,40.749156,-73.9916,2300
Washington Square E,40.73049393,-73.9957214,University Pl & E 14 St,40.734814,-73.992085,2290
W 15 St & 6 Ave,40.738046142482766,-73.99642959237099,W 21 St & 6 Ave,40.74173969,-73.99415556,2282
West St & Chambers St,40.71754834,-74.01322069,West St & Liberty St,40.711444,-74.014847,2266
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852,2264
10 Ave & W 14 St,40.74198159994023,-74.00831580162048,West St & Liberty St,40.711444,-74.014847,2236
W 16 St & The High Line,40.74334935,-74.00681753,8 Ave & W 16 St,40.740983,-74.001702,2233
Motorgate,40.7639089,-73.9477213,Motorgate,40.7639089,-73.9477213,2231
Central Park West & W 68 St,40.7734066,-73.97782542,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,2210
E 33 St & 1 Ave,40.74322681432173,-73.97449783980846,2 Ave & E 31 St,40.74290902,-73.97706058,2203
Shore Blvd & Astoria Park,40.77977,-73.923162,Shore Blvd & Astoria Park,40.77977,-73.923162,2198
W 26 St & 8 Ave,40.74734825,-73.99723551,11 Ave & W 27 St,40.751396,-74.005226,2195
E 85 St & York Ave,40.77536905,-73.94803392,E 85 St & 3 Ave,40.77801203,-73.95407149,2194
E 7 St & Avenue A,40.72621788,-73.98379855,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,2185
Clinton St & Grand St,40.71559509,-73.9870295,Clinton St & Cherry St,40.711471394469264,-73.98672603070736,2176
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,2175
Wards Meadow Comfort Station,40.78294,-73.93077,Wards Meadow Comfort Station,40.78294,-73.93077,2169
Grand Army Plaza & Central Park S,40.7643971,-73.97371465,Central Park S & 6 Ave,40.76590936,-73.97634151,2167
Central Park West & W 72 St,40.77579376683666,-73.9762057363987,5 Ave & E 72 St,40.77282817,-73.96685276,2158
Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,2157
W 20 St & 10 Ave,40.745686,-74.005141,W 20 St & 7 Ave,40.74238787,-73.99726235,2154
11 Ave & W 41 St,40.76030096,-73.99884222,W 44 St & 11 Ave,40.762009,-73.996975,2153
1 Ave & E 68 St,40.76500525,-73.95818491,1 Ave & E 62 St,40.7612274,-73.96094022,2151
Broadway & W 41 St,40.75513557,-73.98658032,6 Ave & W 34 St,40.74964,-73.98805,2151
5 Ave & E 63 St,40.766368,-73.971518,5 Ave & E 63 St,40.766368,-73.971518,2151
W 21 St & 6 Ave,40.74173969,-73.99415556,W 20 St & 10 Ave,40.745686,-74.005141,2146
1 Ave & E 30 St,40.74144387,-73.97536082,2 Ave & E 29 St,40.74172351097472,-73.97809267044067,2142
